小区名称,纬度,经度,单价(元/㎡),总价,建筑面积(㎡),户型,挂牌天数,月租金,近期成交价,去年同期价
钟家中心8,30.551,114.262262,13734,99.53,72.46,2室1厅,16,2856,14303,12844
江汉名邸18,30.580922,114.278475,22402,270.97,120.96,3室2厅,45,13681,21680,20872
白沙广场8,30.478901,114.290542,12338,101.62,82.36,2室2厅,16,1437,11647,12715
街道丽舍3,30.532299,114.356289,17479,209.46,119.83,3室2厅,102,5605,17802,16010
四新苑13,30.519533,114.261297,13885,111.44,80.26,2室2厅,321,2627,14512,12842
中南花园15,30.485133,114.368359,14496,109.61,75.61,2室1厅,15,2657,14741,12893
武昌小区4,30.532077,114.320869,13998,179.48,128.22,4室2厅,19,4620,13633,13192
中南花园1,30.481344,114.368101,15310,209.0,136.5,4室2厅,138,5667,14784,13328
金融阳光9,30.452572,114.385246,17046,79.72,46.76,1室1厅,5,3086,15994,17464
徐东银座13,30.58218,114.347591,17118,164.25,95.95,3室1厅,98,4868,16622,15595
南湖金座15,30.492034,114.329522,12509,159.47,127.48,4室2厅,23,5533,12488,11333
南湖国际5,30.491378,114.331743,13283,152.15,114.54,3室2厅,34,4843,13479,11732
武昌华府5,30.528206,114.320486,15612,151.13,96.8,3室1厅,14,2936,15814,15359
白沙府邸12,30.477212,114.291912,9843,101.55,103.17,3室1厅,184,1931,9850,9993
街道雅苑17,30.53096,114.356363,19990,256.6,128.36,3室2厅,95,9209,19681,19523
南湖国际5,30.498154,114.327171,13297,167.64,126.07,3室2厅,56,3910,13636,12536
街道山庄19,30.529122,114.359485,21526,273.91,127.24,3室2厅,16,9996,21293,20652
金融花园3,30.456761,114.385775,18656,282.03,151.17,4室2厅,116,12739,17524,17036
武昌山庄7,30.529185,114.318141,17305,192.67,111.33,3室2厅,1,4931,17445,16207
四新阳光4,30.51943,114.260649,14627,119.01,81.36,2室2厅,7,3132,14687,13875
江夏山庄7,30.353598,114.316233,7875,67.02,85.1,2室2厅,206,1188,7927,7693
武广华府3,30.591464,114.266718,24705,295.25,119.51,3室2厅,11,12207,24330,23006
洪山银座2,30.545269,114.329843,25969,359.0,138.24,4室2厅,48,14742,26618,22622
东西中心16,30.617392,114.126351,8693,71.24,81.94,2室2厅,182,680,8648,8387
盘龙华府15,30.704667,114.239895,7070,134.15,189.73,5室3厅,230,2439,7005,6664
关山银座11,30.501914,114.396663,20776,155.91,75.05,2室1厅,71,7280,19922,19355
中南国际3,30.479434,114.370736,19511,153.43,78.64,2室1厅,4,3599,19665,18329
江汉府邸3,30.578493,114.280671,23911,350.32,146.51,4室2厅,99,17300,24545,21052
江汉银座11,30.578678,114.278879,22356,184.96,82.73,2室1厅,2,8943,21876,21135
光谷府邸15,30.480382,114.409853,18178,149.92,82.47,2室2厅,21,6369,19064,16832
楚河阳光6,30.551719,114.341262,28417,329.72,116.03,3室2厅,53,14860,29698,25748
光谷府邸5,30.477639,114.411456,16412,132.54,80.76,2室2厅,2,5530,17342,15506
关山苑15,30.505893,114.394888,21750,183.31,84.28,2室1厅,0,8965,21983,19596
四新华庭4,30.514075,114.261728,10812,116.52,107.77,3室1厅,174,2099,10486,10489
关山金座5,30.507521,114.391756,17884,145.81,81.53,2室1厅,67,6840,18530,16701
后湖银座10,30.654753,114.270497,12088,112.55,93.1,3室1厅,293,2753,12245,11286
洪山公寓4,30.546208,114.332807,21941,209.97,95.69,3室1厅,105,7128,20558,19853
徐东府邸9,30.581098,114.349019,21290,451.06,211.86,5室3厅,144,17543,21513,20022
